Exp_name, solver, sols, solver_time_mean, total_time_mean, block,  block(2nd calc) , avg_block, solver_calls, solver_err, sr_err, how_many?, solver_v_best, total_v_best, block_total_v, file_size, nodes, satv, satc
hu_gen_tumor_30,nbc_compressed D+I,1191,6.4366666666666665,55.48735245068868,11244.0,4098.0,749.6,15.0,0.4571773300494137,0.28304844510259913,3,5.560000000000001,54.94430065155029,11244.0,2271451.0,8847.333333333334,3066.3333333333335,111664.66666666667
hu_gen_tumor_40,glucose D+I,310,115.48784833333339,358.64399067560834,51226.0,48205.0,3415.066666666667,15.0,5.685622417840658,72.2684470738309,3,105.38047500000009,237.5662820339203,51226.0,-1.0,nan,nan,nan
hu_gen_tumor_40,glucose D,310,136.70018699999997,299.4354666868846,48205.0,nan,155.0,311.0,5.448646499003768,119.07353713391221,3,125.81217200000003,179.3444299697876,48205.0,-1.0,nan,nan,nan
hu_gen_tumor_40,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,14196.0,nan,nan,nan,nan
hu_gen_tumor_40,minion D+I,310,2.140346,21.689918279647827,3021.0,851.0,201.4,15.0,0.08959399999999994,6.475491046905518,2,2.050752,15.21442723274231,3021.0,113529.0,2908.0,0.0,0.0
hu_gen_tumor_40,minion_compressed D+I,310,2.534273,29.7745463848114,3021.0,851.0,201.4,15.0,nan,nan,1,2.534273,29.7745463848114,3021.0,204939.0,2907.0,0.0,0.0
hu_gen_tumor_40,minion D,310,122.04034099999996,156.1365396976471,48205.0,nan,155.0,311.0,nan,nan,1,122.04034099999996,156.1365396976471,48205.0,-1.0,nan,nan,nan
hu_gen_tumor_40,nbc D+I,310,2.5599999999999996,33.76482482751211,3021.0,851.0,201.4,15.0,0.11343133018115709,3.881292855803021,6,2.3399999999999994,18.308891773223877,3021.0,936421.0,3598.0,2454.0,102002.0
hu_gen_tumor_40,nbc_compressed D+I,310,2.47,41.818572759628296,3021.0,851.0,201.4,15.0,0.12999999999999992,0.44792775126917855,3,2.25,41.320411920547485,3021.0,1929753.3333333333,3701.6666666666665,2597.6666666666665,102433.66666666667
hu_gen_tumor_50,glucose D+I,61,22.279515333333332,75.99827440579732,2445.0,1891.0,174.64285714285714,14.0,1.1303376663589373,19.638175010708423,3,20.018978000000008,56.32757902145386,2445.0,-1.0,nan,nan,nan
hu_gen_tumor_50,glucose D,61,21.96010633333334,65.6516961256663,1891.0,nan,30.5,62.0,0.4895053464693852,26.292862622130734,3,21.000154,38.50502347946167,1891.0,-1.0,nan,nan,nan
hu_gen_tumor_50,glucose_ordered D,61,16.68,87.13245558738708,1891.0,nan,30.5,62.0,nan,nan,1,16.68,87.13245558738708,1891.0,-1.0,nan,nan,nan
hu_gen_tumor_50,minion D+I,61,1.6329069999999999,17.953765034675598,554.0,127.0,39.57142857142857,14.0,0.015539999999999998,5.879892468452453,2,1.6173669999999998,12.073872566223145,554.0,75172.0,1194.0,0.0,0.0
hu_gen_tumor_50,minion_compressed D+I,61,1.6172119999999999,24.463140726089478,554.0,127.0,39.57142857142857,14.0,nan,nan,1,1.6172119999999999,24.463140726089478,554.0,151081.0,1194.0,0.0,0.0
hu_gen_tumor_50,minion D,61,18.474894999999993,31.70545721054077,1891.0,nan,30.5,62.0,nan,nan,1,18.474894999999993,31.70545721054077,1891.0,-1.0,nan,nan,nan
hu_gen_tumor_50,nbc D+I,61,1.3316666666666668,23.582477966944378,554.0,127.0,39.57142857142856,14.0,0.04094033599167347,2.5030471558774465,6,1.1700000000000002,15.471899032592773,554.0,847863.5,1805.3333333333333,2385.0,92495.0
hu_gen_tumor_50,nbc_compressed D+I,61,1.2766666666666668,30.79420479138692,554.0,127.0,39.57142857142857,14.0,0.07310570733153776,0.842279891227387,3,1.1800000000000002,29.121634483337402,554.0,1708175.0,1714.6666666666667,2416.0,92590.0
hu_gen_vote_10,glucose D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_gen_vote_10,glucose D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
hu_gen_vote_10,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,6105.0,nan,nan,nan,nan
hu_gen_vote_10,minion D+I,9962,82.16896799999999,133.2829611301422,109203.0,39469.0,6825.1875,16.0,5.886229999999998,13.22078800201416,2,76.282738,120.06217312812805,109203.0,1586624.5,202230.0,0.0,0.0
hu_gen_vote_10,minion_compressed D+I,9962,809.2515900000001,1264.884004354477,109203.0,39469.0,6825.1875,16.0,nan,nan,1,809.2515900000001,1264.884004354477,109203.0,1985826.0,201592.0,0.0,0.0
hu_gen_vote_10,minion D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,153.0,nan,nan,nan,nan
hu_gen_vote_10,nbc D+I,9962,53.43,131.50157339232308,109203.0,39469.0,6825.1875,16.0,0.9967470902414343,2.173351332629738,7,49.709999999999994,121.68468523025513,109203.0,2432678.4285714286,111657.0,4097.0,212010.0
